品牌,口味,熱量(kcal/100g),蛋白質(%),脂肪(%),碳水化合物(%),水分(%),纖維(%),磷(%),鈣(%),鎂(%),牛磺酸(%)
好味小姐,1+1益生菌 半濕食主食罐 - 雞肉莓果,118,12.8,6.5,0.6,78.2,0.4,0.18,0.22,0.02,0.15
好味小姐,1+1益生菌 半濕食主食罐 - 綜合野味,120,13.2,6.2,0.5,78,0.6,0.19,0.24,0.02,0.15
好味小姐,1+1益生菌 半濕食主食罐 - 綜合海陸,117,12.5,6.8,0.7,78.1,0.4,0.18,0.22,0.02,0.15
好味小姐,1+1益生菌 半濕食主食罐 - 綜合蝦貝,115,12.1,6.3,0.9,78.5,0.7,0.17,0.21,0.02,0.15
好味小姐,1+1益生菌 半濕食主食罐 - 四種魚白肉,119,12.3,6.1,0.8,78.8,0.5,0.18,0.22,0.02,0.15
好味小姐,1+1益生菌 半濕食主食罐 - 四種魚紅肉,122,13.5,5.8,0.4,78.4,0.4,0.2,0.25,0.02,0.15
好味小姐,1+1鮮魚 慕斯主食罐 - 鮮燉鱸魚,115,11.5,5.8,1.2,80,0.3,0.16,0.2,0.01,0.12
好味小姐,1+1鮮魚 慕斯主食罐 - 清香鯛魚,123,11.2,6,1.1,80.2,0.3,0.16,0.2,0.01,0.12
好味小姐,1+1鮮魚 慕斯主食罐 - 香嫩干貝,116,11.8,5.5,1,80.1,0.4,0.17,0.21,0.01,0.12
沙發馬鈴薯,Keptbaby吃軟飯貓用骨肉泥主食餐包 - 放蕩野雞,102,13.2,6.5,0.8,77.5,0.5,0.19,0.23,0.02,0.1
沙發馬鈴薯,Keptbaby吃軟飯貓用骨肉泥主食餐包 - 小宅鵪鶉,120,13.5,6.2,0.6,77.8,0.4,0.2,0.24,0.02,0.1
沙發馬鈴薯,Keptbaby吃軟飯貓用骨肉泥主食餐包 - 懶潛鬼頭刀,107,12.8,5.8,1.1,78.3,0.5,0.18,0.22,0.02,0.1
沙發馬鈴薯,Keptbaby吃軟飯貓用骨肉泥主食餐包 - 起秋活游鮭,128,12.5,7.2,0.7,77.6,0.5,0.18,0.22,0.02,0.1
肉球世界,南極磷蝦大肉包 - 雞肉X蔓越莓,90,13.5,6.8,0.5,76.8,0.4,0.18,0.22,0.02,0.15
肉球世界,南極磷蝦大肉包 - 鮪魚X益生元,77,13.2,6.5,0.7,77.2,0.5,0.19,0.23,0.02,0.15
肉球世界,南極磷蝦大肉包 - 雞鮪-UC2,88,13.8,6.2,0.6,77,0.4,0.2,0.24,0.02,0.15
肉球世界,南極磷蝦大肉包 - 雞鮭X牛磺酸,91,13,7.5,0.4,76.8,0.3,0.18,0.22,0.02,0.25
肉球世界,南極磷蝦大肉包 - 雞肉X人蔘,90,13.5,6.5,0.7,77,0.3,0.18,0.22,0.02,0.15
肉球世界,南極磷蝦大肉包 - 鮪魚X藜麥,80,12.8,6,1.2,77.5,0.5,0.17,0.21,0.02,0.15
肉球世界,南極磷蝦美毛包 - 鮪魚*離胺酸*維生素e,71,13.5,6.5,0.6,77,0.4,0.19,0.23,0.02,0.15
肉球世界,南極磷蝦美毛包 - 雞牛*白藜蘆醇,120,14.2,7,0.3,76.2,0.3,0.21,0.26,0.02,0.15
肉球世界,南極磷蝦美毛包 - 雞肉*膠原蛋白,119,13.8,6.8,0.5,76.5,0.4,0.2,0.24,0.02,0.15
肉球世界,南極磷蝦美毛包 - 雞鰹*卵磷脂,115,13.5,7.2,0.4,76.4,0.5,0.19,0.23,0.02,0.15
汪喵星球,益菌PRO+ 綿密肉泥主食罐 - 營養全雞,92,12.5,6.2,0.8,78.5,0.5,0.18,0.22,0.02,0.15
汪喵星球,益菌PRO+ 綿密肉泥主食罐 - 低敏鴨胸,93,12,7.5,0.5,78,0.5,0.17,0.21,0.02,0.15
汪喵星球,益菌PRO+ 綿密肉泥主食罐 - 鮮甜虱目魚,97,11.5,6.8,1.2,79,0.5,0.16,0.2,0.02,0.15
